trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_7_trip_1_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_2_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_3_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_4_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_5_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_6_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_7_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_8_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_9_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_10_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_11_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_12_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_13_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_14_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_15_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_16_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_17_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_18_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_19_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_20_service_1,route_942,service_1,Krowodrza Górka,"",1,block_7,,
block_7_trip_21_service_1,route_942,service_1,Wzgórza K.,"",0,block_7,,
block_7_trip_22_service_1,route_942,service_1,Zajezdnia Nowa Huta,"",0,block_7,,
block_9_trip_1_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_2_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_3_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_4_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_5_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_6_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_7_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_8_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_9_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_10_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_11_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_12_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_13_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_14_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_15_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_16_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_17_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_18_service_1,route_807,service_1,Bronowice Małe,"",0,block_9,,
block_9_trip_19_service_1,route_807,service_1,Borek Fałęcki,"",1,block_9,,
block_9_trip_20_service_1,route_807,service_1,Zajezdnia Podgórze,"",0,block_9,,
block_14_trip_1_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_14,,
block_14_trip_2_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
block_14_trip_3_service_1,route_58,service_1,Nowy Bieżanów P+R,"",1,block_14,,
block_14_trip_4_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
block_14_trip_5_service_1,route_58,service_1,Nowy Bieżanów P+R,"",1,block_14,,
block_14_trip_6_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
block_14_trip_7_service_1,route_58,service_1,Nowy Bieżanów P+R,"",1,block_14,,
block_14_trip_8_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
block_14_trip_9_service_1,route_58,service_1,Nowy Bieżanów P+R,"",1,block_14,,
block_14_trip_10_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
block_14_trip_11_service_1,route_58,service_1,Nowy Bieżanów P+R,"",1,block_14,,
block_14_trip_12_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
block_14_trip_13_service_1,route_58,service_1,Nowy Bieżanów P+R,"",1,block_14,,
block_14_trip_14_service_1,route_58,service_1,Mistrzejowice,"",0,block_14,,
